resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
1.5,3ARQ,Crystal Structure Analysis of Chitinase A from Vibrio harveyi with novel inhibitors - complex structure with IDARUBICIN,X-RAY DIFFRACTION,GOL|DM5,"",42890|753,"","",21531720,10.1074/jbc.m110.183376,PMC3129211,14042307,"Pantoom S, Vetter IR, Prinz H, Suginta W. Potent family-18 chitinase inhibitors: x-ray structures, affinities, and binding mechanisms. J Biol Chem. 2011 Jul 08;286(27):24312–23. PMID: 21531720; PMCID: PMC3129211."
1.6,1D67,THE MOLECULAR STRUCTURE OF AN IDARUBICIN-D(TGATCA) COMPLEX AT HIGH RESOLUTION,X-RAY DIFFRACTION,DM5,"",42890,"","",15299520,10.1107/s0907444992009983,"",17309005,"Gallois B, Langlois d'Estaintot B, Brown T, Hunter WN. The structure of an idarubicin–d(TGATCA) complex at high resolution. Acta Crystallogr D Biol Crystallogr. 1993 May 01;49(3):311–7. doi: 10.1107/s0907444992009983."
1.7,1D38,INFLUENCE OF AGLYCONE MODIFICATIONS ON THE BINDING OF ANTHRACYCLINE DRUGS TO DNA: THE MOLECULAR STRUCTURE OF IDARUBICIN AND 4-O-DEMETHYL-11-DEOXYDOXORUBICIN COMPLEXED TO D(CGATCG),X-RAY DIFFRACTION,DM5|MG,"",888|42890,"","",1872945,"","",15008369,"Gao YG, Wang AH. Influence of aglycone modifications on the binding of anthracycline drugs to DNA: the molecular structure of idarubicin and 4-O-demethyl-11-deoxydoxorubicin complexed to d(CGATCG). Anticancer Drug Des. 1991 Jul;6(3):137–49. PMID: 1872945."
1.97,198D,A TRIGONAL FORM OF THE IDARUBICIN-D(CGATCG) COMPLEX: CRYSTAL AND MOLECULAR STRUCTURE AT 2.0 ANGSTROMS RESOLUTION,X-RAY DIFFRACTION,SPM|DM5,"",1103|42890,"","",7784175,10.1093/nar/23.10.1710,PMC306926,4935327,"Dautant A, d'Estaintot BL, Gallois B, Brown T, Hunter WN. A trigonal form of the idarubicin:d(CGATCG) complex; crystal and molecular structure at 2.0 A resolution. Nucleic Acids Research. 1995 May 25;23(10):1710–6. doi: 10.1093/nar/23.10.1710."
2.8,4LB2,X-ray study of human serum albumin complexed with idarubicin,X-RAY DIFFRACTION,DM5,"",42890,P02768|3CX9_A|1HK2_A|1GNI_A|1HK3_A,213,23838380,10.1016/j.bbagen.2013.06.032,"",20848356,"Wang ZM, Ho JX, Ruble JR, Rose J, Ruker F, Ellenburg M, Murphy R, Click J, Soistman E, Wilkerson L, Carter DC: Structural studies of several clinically important oncology drugs in complex with human serum albumin. Biochim Biophys Acta. 2013 Dec;1830(12):5356-74. doi: 10.1016/j.bbagen.2013.06.032. Epub 2013 Jul 6."
