resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
1.8,4I24,Structure of T790M EGFR kinase domain co-crystallized with dacomitinib,X-RAY DIFFRACTION,1C9,"",11511120,P00533|3IKA_A|3UG2_A|2RGP_A|2ITY_A|2JIU_A|3LZB_A|2ITO_A|2ITT_A|1XKK_A,1956,23273428,10.1016/j.str.2012.11.014,"",8671601,"Gajiwala KS, Feng J, Ferre R, Ryan K, Brodsky O, Weinrich S, Kath JC, Stewart A. Insights into the aberrant activity of mutant EGFR kinase domain and drug recognition. Structure. 2013 Feb 05;21(2):209–19. doi: 10.1016/j.str.2012.11.014. PMID: 23273428."
2.8,4I23,Crystal structure of the wild-type EGFR kinase domain in complex with dacomitinib (soaked),X-RAY DIFFRACTION,1C9,"",11511120,P00533|3IKA_A|3UG2_A|2RGP_A|2ITY_A|2JIU_A|3LZB_A|2ITO_A|2ITT_A|1XKK_A,1956,23273428,10.1016/j.str.2012.11.014,"",8671601,"Gajiwala KS, Feng J, Ferre R, Ryan K, Brodsky O, Weinrich S, Kath JC, Stewart A. Insights into the aberrant activity of mutant EGFR kinase domain and drug recognition. Structure. 2013 Feb 05;21(2):209–19. doi: 10.1016/j.str.2012.11.014. PMID: 23273428."
