resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
1.8,6PSJ,Bazedoxifene in Complex with Y537S Estrogen Receptor Alpha Ligand Binding Domain,X-RAY DIFFRACTION,29S,"",154257,P03372|1SJ0_A|2IOK_A|2IOG_A|1UOM_A|1QKT_A|1PCG_A|1QKU_A|4DMA_A|1ZKY_A|1X7E_A|2P15_A|1GWQ_A,2099,35575456,10.7554/elife.72512,PMC9177151,34072705,"Hosfield DJ, Weber S, Li N, Sauvage M, Joiner CF, Hancock GR, Sullivan EA, Ndukwe E, Han R, Cush S, Lainé M, Mader SC, Greene GL, Fanning SW. Author response: Stereospecific lasofoxifene derivatives reveal the interplay between estrogen receptor alpha stability and antagonistic activity in ESR1 mutant breast cancer cells. 2022 Apr 21;(). doi: 10.7554/elife.72512.sa2."
2.491,4XI3,Estrogen Receptor Alpha Ligand Binding Domain in Complex with Bazedoxifene,X-RAY DIFFRACTION,29S,"",154257,P03372|1SJ0_A|2IOK_A|2IOG_A|1UOM_A|1QKT_A|1PCG_A|1QKU_A|4DMA_A|1ZKY_A|1X7E_A|2P15_A|1GWQ_A,2099,"","","","",""
