query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
4ALI_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],4.76E-18,82.4,29.224,219
4ALI_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],5.61E-18,82,29.224,219
4ALI_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],1.88E-17,80.5,29.224,219
4ALI_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],3.17E-13,67.4,36.09,133
4C2V_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],2.84E-49,170,35.409,257
4C2V_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],1.31E-43,158,31.741,293
4C2V_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.57E-35,129,31.724,290
4C2V_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.75E-35,128,31.724,290
4C2V_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.78E-35,128,32.069,290
4G4S_5|Chain,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],3.00E-82,247,48.473,262
4G4S_5|Chain,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],4.49E-49,162,39.516,248
4G4S_5|Chain,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.24E-36,129,32.877,219
4G4S_6|Chain,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],2.38E-34,123,33.333,249
4G4S_6|Chain,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.34E-30,113,40.805,174
4G4S_6|Chain,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],9.68E-28,105,36.994,173
4G4S_9|Chain,"['pdb', '5FMG', 'I']",Chain I, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],7.00E-70,213,50.228,219
4G4S_10|Chain,"['pdb', '5FMG', 'M']",Chain M, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],5.53E-18,79,27.83,212
4G4S_11|Chain,"['pdb', '5FMG', 'K']",Chain K, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],1.27E-35,123,35.429,175
4G4S_11|Chain,"['pdb', '5FMG', 'I']",Chain I, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],6.00E-15,70.5,30.189,159
4G4S_1|Chain,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],6.51E-23,93.6,33.889,180
4G4S_1|Chain,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],6.13E-22,91.3,26.407,231
4G4S_1|Chain,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],3.41E-21,89,28.492,179
4G4S_12|Chain,"['pdb', '5FMG', 'L']",Chain L, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],7.81E-66,201,51.351,185
4G4S_13|Chain,"['pdb', '5FMG', 'M']",Chain M, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],3.09E-46,153,36.486,222
4G4S_14|Chain,"['pdb', '5FMG', 'N']",Chain N, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],1.52E-30,113,32.609,230
4G4S_2|Chain,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],7.84E-44,147,37.383,214
4G4S_2|Chain,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],3.16E-39,136,35.426,223
4G4S_2|Chain,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],4.67E-33,120,33.333,228
4G4S_3|Chain,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],4.57E-79,238,50.633,237
4G4S_3|Chain,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],5.66E-50,164,37.674,215
4G4S_3|Chain,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.68E-46,155,39.545,220
4G4S_4|Chain,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],7.36E-85,253,47.347,245
4G4S_4|Chain,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],2.74E-42,144,40.341,176
4G4S_4|Chain,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],7.82E-34,122,34.821,224
4G4S_7|Chain,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.55E-35,128,34.742,213
4G4S_7|Chain,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],6.97E-32,118,36.416,173
4G4S_7|Chain,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],2.51E-29,111,34.184,196
4G4S_8|Chain,"['pdb', '5FMG', 'I']",Chain I, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],1.15E-19,82.8,27.411,197
4JI9_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],6.23E-21,90.1,32.178,202
4JI9_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],6.82E-21,90.1,32.178,202
4JI9_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],8.94E-21,89.7,32,200
4JI9_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.01E-15,77,31.624,234
4KM0_1|Chains,"['pdb', '1J3I', 'A']",Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],2.33E-09,54.7,32.353,102
4M89_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],2.24E-16,77,27.731,238
4M89_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],6.49E-16,75.9,28.992,238
4M89_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],6.49E-16,75.9,28.992,238
4M89_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],6.92E-16,75.9,28.992,238
4M89_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],5.82E-15,73.2,28.571,238
4M89_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],6.97E-12,63.2,36.029,136
4NCT_1|Chains,"['pdb', '8RPC', 'A']",Chain A, non-specific serine/threonine protein kinase [Plasmodium falciparum],2.41E-38,140,34.694,245
4NCT_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.29E-28,111,29.73,333
4NCT_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.14E-28,110,29.429,333
4NCT_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.75E-28,110,29.429,333
4NCT_2|Chain,"['pdb', '8RPC', 'A']",Chain A, non-specific serine/threonine protein kinase [Plasmodium falciparum],2.41E-38,140,34.694,245
4NCT_2|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.29E-28,111,29.73,333
4NCT_2|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.14E-28,110,29.429,333
4NCT_2|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.75E-28,110,29.429,333
4NR0_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],2.58E-18,82.8,27.193,228
4NR0_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],9.19E-18,81.3,28.07,228
4NR0_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],2.18E-17,80.5,26.754,228
4NR0_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],2.21E-17,80.5,26.754,228
4NR0_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],5.11E-17,79.3,28.07,228
4NR0_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],1.85E-13,67.8,34.586,133
4O74_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],4.09E-13,61.6,31.373,102
4O76_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],4.09E-13,61.6,31.373,102
4OGI_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],4.09E-13,61.6,31.373,102
4OGJ_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],4.09E-13,61.6,31.373,102
4PS5_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],4.09E-13,61.6,31.373,102
5AP7_1|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.58E-21,91.3,28.378,296
5AP7_1|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.63E-21,91.3,28.378,296
5AP7_1|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.13E-21,90.9,28.041,296
5AP7_1|Chain,"['pdb', '3NIE', 'A']",Chain A, MAP2 kinase [Plasmodium falciparum],1.56E-15,76.3,31.873,251
5AP7_1|Chain,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],3.60E-14,72.4,25.087,287
5C8G_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],2.06E-07,46.6,32.394,71
5HEZ_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],6.58E-21,90.1,32.178,202
5HEZ_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],6.99E-21,90.1,32.178,202
5HEZ_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.00E-20,89.7,32,200
5HEZ_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.29E-15,76.6,31.556,225
5IFL_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],3.07E-16,77,25.463,216
5IFL_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],5.78E-16,76.3,25.463,216
5IFL_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],6.41E-16,76.3,25.463,216
5IFL_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],7.16E-16,76.3,25.463,216
5IFL_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],5.39E-15,73.6,25,216
5IFL_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],5.47E-13,66.6,35.593,118
5LRQ_1|Chain,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],5.86E-13,61.6,31.373,102
5NTT_1|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.47E-22,93.2,28.378,296
5NTT_1|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.76E-22,93.2,28.378,296
5NTT_1|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],6.50E-22,92.4,28.041,296
5NTT_1|Chain,"['pdb', '3NIE', 'A']",Chain A, MAP2 kinase [Plasmodium falciparum],6.08E-15,74.3,31.727,249
5NTT_1|Chain,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.45E-14,73.2,25.442,283
5VBQ_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],4.01E-15,66.2,37.363,91
5YCS_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],1.13E-23,97.4,24.458,323
5YCS_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],1.64E-23,97.1,25.077,323
5YCS_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],1.82E-23,96.7,25.077,323
5YCS_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],1.94E-23,96.7,25.077,323
5YCS_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],7.25E-23,95.1,25.077,323
5YCS_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],2.50E-17,78.2,26.549,226
5YCS_1|Chains,"['pdb', '1NHG', 'C']",Chain C, enoyl-acyl carrier reductase [Plasmodium falciparum],5.49E-06,42.7,40.909,44
5YO1_1|Chain,"['pdb', '8EWZ', 'A']",Chain A, M1 family aminopeptidase [Plasmodium falciparum],1.44E-177,536,34.701,902
5YO1_1|Chain,"['pdb', '3EBH', 'A']",Chain A, M1 family aminopeptidase [Plasmodium falciparum],2.53E-177,535,34.739,901
5YO1_1|Chain,"['pdb', '8T6H', 'A']",Chain A, Aminopeptidase N [Plasmodium falciparum],1.41E-176,533,34.59,902
5YO1_1|Chain,"['pdb', '8T83', 'A']",Chain A, Aminopeptidase N [Plasmodium falciparum],1.98E-176,533,34.59,902
5YO1_1|Chain,"['pdb', '8T7P', 'A']",Chain A, Aminopeptidase N [Plasmodium falciparum],2.35E-176,533,34.59,902
5YO1_1|Chain,"['pdb', '8SLO', 'A']",Chain A, M1 family aminopeptidase [Plasmodium falciparum],1.48E-175,537,34.701,902
6AH9_1|Chain,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],3.25E-19,85.1,27.803,223
6AH9_1|Chain,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],1.31E-18,83.6,26.609,233
6AH9_1|Chain,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],2.36E-18,82.8,28.7,223
6AH9_1|Chain,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],3.25E-18,82.4,27.354,223
6AH9_1|Chain,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],1.19E-17,80.9,28.7,223
6AH9_1|Chain,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],3.28E-13,67,34.127,126
6CW0_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],1.38E-11,56.6,32.609,92
6MF9_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],1.24E-06,45.4,32.468,77
6UNS_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],2.09E-14,73.6,29.302,215
6UNS_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.70E-09,56.6,26.066,211
6UNS_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.99E-09,56.6,26.066,211
6UNS_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.55E-09,56.2,25.592,211
6UNS_1|Chains,"['pdb', '2PML', 'X']",Chain X, Ser/Thr protein kinase [Plasmodium falciparum],2.81E-08,54.3,24.352,193
6VNE_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],8.39E-21,89.7,32.178,202
6VNE_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],8.56E-21,89.7,32.178,202
6VNE_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.26E-20,89.4,32,200
6VNE_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.52E-15,76.6,31.33,233
6XCY_1|Chain,"['pdb', '7TBB', 'A']",Chain A, Plasmepsin 10 [Plasmodium falciparum],1.48E-52,177,33.025,324
6XD3_3|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.37E-78,242,42.16,287
6XD3_3|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.45E-78,242,42.16,287
6XD3_3|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.05E-78,241,41.812,287
6XD3_3|Chain,"['pdb', '3NIE', 'A']",Chain A, MAP2 kinase [Plasmodium falciparum],1.10E-41,150,31.609,348
7FCM_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],1.56E-20,89.4,26.667,330
7FCM_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],5.61E-20,87.8,26.506,332
7FCM_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],1.40E-19,86.7,26.364,330
7FCM_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],1.75E-19,86.7,26.364,330
7FCM_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],7.27E-19,84.7,26.364,330
7FCM_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],1.68E-13,68.2,29.694,229
7FCM_1|Chains,"['pdb', '1NHG', 'C']",Chain C, enoyl-acyl carrier reductase [Plasmodium falciparum],5.29E-06,43.1,41.304,46
7K6G_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],4.09E-13,61.6,31.373,102
7K6H_1|Chain,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],4.09E-13,61.6,31.373,102
7L73_1|Chain,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],4.01E-15,66.2,37.363,91
7LAI_1|Chain,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],2.50E-12,59.3,31.522,92
7LAU_1|Chain,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],2.50E-12,59.3,31.522,92
7LAZ_1|Chains,"['pdb', '9HHD', 'A']",Chain A, Bromodomain protein 1 [Plasmodium falciparum],1.05E-13,62.8,33.696,92
7Q4A_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],6.18E-24,99.8,28.354,328
7Q4A_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],6.96E-24,99.8,28.354,328
7Q4A_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],8.01E-24,99.4,28.354,328
7Q4A_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.37E-17,83.6,28.774,212
8BX9_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],8.07E-21,90.1,32.178,202
8BX9_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],9.57E-21,89.7,32.178,202
8BX9_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.38E-20,89.4,32,200
8BX9_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],8.22E-15,74.3,32.143,224
8C2Z_1|Chain,"['pdb', '8RPC', 'A']",Chain A, non-specific serine/threonine protein kinase [Plasmodium falciparum],1.42E-41,149,31.347,386
8C2Z_1|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.45E-27,109,27.3,337
8C2Z_1|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.10E-27,109,27.003,337
8C2Z_1|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.21E-27,109,27.003,337
8C3G_1|Chains,"['pdb', '8RPC', 'A']",Chain A, non-specific serine/threonine protein kinase [Plasmodium falciparum],1.80E-38,141,34.694,245
8C3G_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.20E-28,111,29.73,333
8C3G_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.52E-28,110,29.429,333
8C3G_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.87E-28,110,29.429,333
8J9X_1|Chains,"['pdb', '6CA8', 'A']",Chain A, DNA topoisomerase 2 [Plasmodium falciparum],1.60E-69,248,27.565,809
8ORM_3|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.37E-78,242,42.16,287
8ORM_3|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.45E-78,242,42.16,287
8ORM_3|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.05E-78,241,41.812,287
8ORM_3|Chain,"['pdb', '3NIE', 'A']",Chain A, MAP2 kinase [Plasmodium falciparum],1.10E-41,150,31.609,348
8SSO_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.72E-49,171,35.227,264
8SSO_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.63E-40,148,31.939,263
8SSO_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.12E-35,127,30.556,288
8SSO_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.87E-35,127,30.556,288
8SSO_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.93E-35,127,30.556,288
8SSP_1|Chain,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.83E-49,171,35.227,264
8SSP_1|Chain,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.50E-40,148,31.939,263
8SSP_1|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.78E-35,127,30.556,288
8SSP_1|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.98E-35,127,30.556,288
8SSP_1|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.48E-35,127,30.556,288
8TYQ_1|Chain,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],4.74E-13,74.3,30.876,217
8TYQ_1|Chain,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],1.17E-09,63.9,28.03,264
