query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
1QSG_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],3.17E-14,69.7,29.078,141
2B35_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],3.27E-09,56.2,27.322,183
2B35_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],3.85E-09,55.5,27.222,180
2B35_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],4.69E-09,55.8,27.322,183
2B35_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],7.98E-09,55.1,38.554,83
2B35_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],8.03E-09,55.1,38.554,83
2B35_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],2.19E-08,53.9,27.322,183
2BL9_1|Chain,"['pdb', '1J3I', 'A']",Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],8.48E-109,314,63.713,237
2BL9_1|Chain,"['pdb', '1J3J', 'A']",Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],2.15E-108,313,63.291,237
2BL9_1|Chain,"['pdb', '1J3K', 'A']",Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],1.65E-106,308,62.447,237
2BLA_1|Chain,"['pdb', '1J3J', 'A']",Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],1.64E-110,318,64.557,237
2BLA_1|Chain,"['pdb', '1J3K', 'A']",Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],1.23E-108,313,63.713,237
2BLA_1|Chain,"['pdb', '1J3I', 'A']",Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],2.92E-108,313,63.713,237
2J50_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.50E-49,171,35.227,264
2J50_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],4.54E-40,147,31.939,263
2J50_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.25E-35,127,29.72,286
2J50_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.31E-35,127,29.72,286
2J50_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],6.62E-35,127,29.72,286
2O2S_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],4.98E-101,300,47.04,321
2O2S_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],5.50E-101,299,47.04,321
2O2S_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],5.80E-101,299,47.04,321
2O2S_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],2.10E-100,298,46.729,321
2O2S_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],4.75E-100,296,46.729,321
2O2S_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],2.83E-83,250,50.885,226
2O2S_1|Chains,"['pdb', '1NHG', 'C']",Chain C, enoyl-acyl carrier reductase [Plasmodium falciparum],2.21E-14,66.6,59.259,54
2PD3_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],3.26E-18,82.8,27.354,223
2PD3_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],4.17E-18,82.4,27.803,223
2PD3_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],5.11E-18,82,27.803,223
2PD3_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],5.21E-18,82,27.803,223
2PD3_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],1.72E-17,80.5,27.803,223
2PD3_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],1.88E-15,73.6,36.508,126
2QIO_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],9.17E-24,97.4,24.458,323
