resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
2.94,8FVY,40S subunit of the Giardia lamblia 80S ribosome,ELECTRON MICROSCOPY,MG|ZN|YAT,,32051|888|10219,A8BE86|A8BS79,5700515|5698022,,,,,,10219
3.14,8G4S,40S ribosomal subunit of the 80S Giardia intestinalis assemblage A ribosome with Emetine bound in V2 conformation with mRNA and three tRNAs.,ELECTRON MICROSCOPY,MG|YAT|ZN,,32051|888|10219,A8BS79|A8BE86,5698022|5700515,38242118.0,10.1016/j.str.2023.12.015,PMC10997490,36641551.0,"Eiler DR, Wimberly BT, Bilodeau DY, Taliaferro JM, Reigan P, Rissland OS, Kieft JS. The Giardia lamblia ribosome structure reveals divergence in several biological pathways and the mode of emetine function. Structure. 2024 Apr;32(4):400–410.e4. doi: 10.1016/j.str.2023.12.015.",10219
3.24,8G4I,40S ribosomal subunit of the 80S Giardia intestinalis assemblage A ribosome with Emetine bound in V1 conformation,ELECTRON MICROSCOPY,MG|ZN|YAT,,32051|888|10219,A8BS79|A8BE86,5698022|5700515,38242118.0,10.1016/j.str.2023.12.015,PMC10997490,36641551.0,"Eiler DR, Wimberly BT, Bilodeau DY, Taliaferro JM, Reigan P, Rissland OS, Kieft JS. The Giardia lamblia ribosome structure reveals divergence in several biological pathways and the mode of emetine function. Structure. 2024 Apr;32(4):400–410.e4. doi: 10.1016/j.str.2023.12.015.",10219
