resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
3.1,7RLI,Cryo-EM structure of human p97 bound to CB-5083 and ADP.,ELECTRON MICROSCOPY,JDP|ADP,,6022|73051434,P55072|3HU1_A|3HU2_A|3HU3_A|3TIW_A,7415,34520757,10.1016/j.jbc.2021.101187,PMC8517850,12238393,"Caffrey B, Zhu X, Berezuk A, Tuttle K, Chittori S, Subramaniam S. AAA+ ATPase p97/VCP mutants and inhibitor binding disrupt inter-domain coupling and subsequent allosteric activation. Journal of Biological Chemistry. 2021 Oct;297(4):101187. doi: 10.1016/j.jbc.2021.101187.",73051434
3.77,6MCK,p97 D1D2 with CB5083 bound,X-RAY DIFFRACTION,JDP,,73051434,P55072|3HU1_A|3HU2_A|3HU3_A|3TIW_A,7415,30591537,10.1124/mol.118.114256,PMC6355941,18908894,"Tang WK, Odzorig T, Jin W, Xia D. Structural Basis of p97 Inhibition by the Site-Selective Anticancer Compound CB-5083. Molecular Pharmacology. 2019 Mar;95(3):286–93. doi: 10.1124/mol.118.114256.",73051434
3.8,7RLJ,Cryo-EM structure of human p97 bound to CB-5083 and ATPgS.,ELECTRON MICROSCOPY,JDP|AGS|MG,,73051434|888|440317,P55072|3HU1_A|3HU2_A|3HU3_A|3TIW_A,7415,34520757,10.1016/j.jbc.2021.101187,PMC8517850,12238393,"Caffrey B, Zhu X, Berezuk A, Tuttle K, Chittori S, Subramaniam S. AAA+ ATPase p97/VCP mutants and inhibitor binding disrupt inter-domain coupling and subsequent allosteric activation. Journal of Biological Chemistry. 2021 Oct;297(4):101187. doi: 10.1016/j.jbc.2021.101187.",73051434
