resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
2.73,2ITT,Crystal structure of EGFR kinase domain L858R mutation in complex with AEE788,X-RAY DIFFRACTION,AEE,"",10297043,P00533|3IKA_A|3UG2_A|2RGP_A|2ITY_A|2JIU_A|3LZB_A|2ITO_A|2ITT_A|1XKK_A,1956,17349580,10.1016/j.ccr.2006.12.017,PMC1939942,20729591,"Yun CH, Boggon TJ, Li Y, Woo MS, Greulich H, Meyerson M, Eck MJ. Structures of lung cancer-derived EGFR mutants and inhibitor complexes: mechanism of activation and insights into differential inhibitor sensitivity. Cancer Cell. 2007 Mar;11(3):217–27. PMID: 17349580; PMCID: PMC1939942."
2.74,2ITP,Crystal structure of EGFR kinase domain G719S mutation in complex with AEE788,X-RAY DIFFRACTION,AEE,"",10297043,P00533|3IKA_A|3UG2_A|2RGP_A|2ITY_A|2JIU_A|3LZB_A|2ITO_A|2ITT_A|1XKK_A,1956,17349580,10.1016/j.ccr.2006.12.017,PMC1939942,20729591,"Yun CH, Boggon TJ, Li Y, Woo MS, Greulich H, Meyerson M, Eck MJ. Structures of lung cancer-derived EGFR mutants and inhibitor complexes: mechanism of activation and insights into differential inhibitor sensitivity. Cancer Cell. 2007 Mar;11(3):217–27. PMID: 17349580; PMCID: PMC1939942."
3.05,2JIU,Crystal structure of EGFR kinase domain T790M mutation in complex with AEE788,X-RAY DIFFRACTION,AEE,"",10297043,P00533|3IKA_A|3UG2_A|2RGP_A|2ITY_A|2JIU_A|3LZB_A|2ITO_A|2ITT_A|1XKK_A,1956,18227510,10.1073/pnas.0709662105,PMC2538882,1692158,"Yun CH, Mengwasser KE, Toms AV, Woo MS, Greulich H, Wong KK, Meyerson M, Eck MJ. The T790M mutation in EGFR kinase causes drug resistance by increasing the affinity for ATP. Proc Natl Acad Sci U S A. 2008 Feb 12;105(6):2070–5. PMID: 18227510; PMCID: PMC2538882."
3.1,2J6M,Crystal structure of EGFR kinase domain in complex with AEE788,X-RAY DIFFRACTION,AEE,"",10297043,P00533|3IKA_A|3UG2_A|2RGP_A|2ITY_A|2JIU_A|3LZB_A|2ITO_A|2ITT_A|1XKK_A,1956,17349580,10.1016/j.ccr.2006.12.017,PMC1939942,20729591,"Yun CH, Boggon TJ, Li Y, Woo MS, Greulich H, Meyerson M, Eck MJ. Structures of lung cancer-derived EGFR mutants and inhibitor complexes: mechanism of activation and insights into differential inhibitor sensitivity. Cancer Cell. 2007 Mar;11(3):217–27. PMID: 17349580; PMCID: PMC1939942."
